,wet_cell_count,diff_topo,diff_no_breach,num_breaches,mean_depth,mean_distance,mean_breach_area,total_breach_area,inundation_per_breach (m**2)
dw_0207_1,815814.0,107619.0,7403.0,1.0,-0.7194299778186025,451.97717810895085,325.16593122143706,325.16593122143706,2398572.0
dw_0082_5,834016.0,125821.0,25605.0,5.0,-1.4201067866226724,375.3832228528125,533.0842623575701,2665.4213117878503,1659204.0
dw_0122_4,828951.0,120756.0,20540.0,4.0,-1.5714476682415714,345.48586529298774,542.9129574250873,2171.651829700349,1663740.0
dw_0045_5,818540.0,110345.0,10129.0,5.0,-1.064719469325921,153.99238183590325,163.9586870685575,819.7934353427876,656359.2
dw_0143_3,821713.0,113518.0,13302.0,3.0,-0.7883303256189086,344.6537023206904,271.70096537623226,815.1028961286968,1436616.0
dw_0286_2,815106.0,106911.0,6695.0,2.0,-1.423093893652827,145.49321955673608,207.05051231908118,414.10102463816236,1084590.0
dw_0063_4,825139.0,116944.0,16728.0,4.0,-0.8014093694239941,347.4853987268549,278.4780542777339,1113.9122171109357,1354968.0
dw_0198_5,831043.0,122848.0,22632.0,5.0,-0.9813001293469137,396.182410174312,388.77385034902437,1943.8692517451218,1466553.5999999999
dw_0041_1,816435.0,108240.0,8024.0,1.0,-1.8011019923770812,458.97582963415766,826.6622812070052,826.6622812070052,2599776.0
dw_0119_2,811269.0,103074.0,2858.0,2.0,-0.46274198833722907,92.99599161127635,43.03315006559429,86.06630013118858,462996.0
dw_0031_5,824187.0,115992.0,15776.0,5.0,-0.951366320083898,222.7901998891178,211.95509261926605,1059.7754630963302,1022284.7999999999
dw_0229_2,818119.0,109924.0,9708.0,2.0,-1.2665030571102585,220.99166334329303,279.88661722016167,559.7732344403233,1572696.0
dw_0180_1,816383.0,108188.0,7972.0,1.0,-0.6630318989939159,584.9691946304084,387.8532359687413,387.8532359687413,2582928.0
dw_0216_2,821902.0,113707.0,13491.0,2.0,-0.8068170999450867,397.4825172184896,320.6956918210947,641.3913836421895,2185542.0
dw_0202_3,826418.0,118223.0,18007.0,3.0,-1.319449676889529,358.65235607177095,473.22373533456647,1419.6712060036994,1944756.0
dw_0258_2,811207.0,103012.0,2796.0,2.0,-1.2055682859447483,56.99745352337386,68.71432234738928,137.42864469477857,452952.0
dw_0089_2,822711.0,114516.0,14300.0,2.0,-1.3763567453126409,350.48491454736154,482.3922762675856,964.7845525351712,2316600.0
dw_0223_1,811078.0,102883.0,2667.0,1.0,-1.6686609627030418,153.99189055203706,256.9602563370236,256.9602563370236,864108.0
