,inundation,breach_area,simulation_name,num_breaches
204,47.913768,0.0920769348036102,loc_0329_278,278.0
205,46.755792,0.0557484028764313,loc_0394_159,159.0
207,35.52336,0.014473484988334761,loc_0227_50,50.0
208,48.09132,0.0741713996282921,loc_0395_241,241.0
209,48.464892,0.10375018562064586,loc_0357_294,294.0
211,17.88156,0.003365659002128169,loc_0056_0008,8.0
212,31.197312,0.010532394087176853,loc_0099_0035,35.0
213,34.4574,0.01419854152926645,loc_0079_0036,36.0
214,34.9029,0.014284629830956751,loc_0071_0046,46.0
215,46.837764,0.06725932803311407,loc_0386_206,206.0
216,47.51622,0.0549456972703071,loc_0276_175,175.0
217,13.132368,0.0025016443880263232,loc_0026_0011,11.0
218,45.649332,0.047058964211994986,loc_0307_159,159.0
219,41.556564,0.023958471882861546,loc_0281_72,72.0
220,47.646792,0.05498176962929288,loc_0275_164,164.0
221,40.22784,0.02058772621413728,loc_0347_77,77.0
222,42.265152,0.04030270073611614,loc_0253_121,121.0
223,30.996432,0.011710738133536899,loc_0027_0034,34.0
224,46.539684,0.05295252078389024,loc_0208_173,173.0
225,48.172644,0.08253974082433581,loc_0367_253,253.0
226,48.684564,0.08526762261595032,loc_0297_266,266.0
227,35.747568,0.01852314831039725,loc_0251_59,59.0
228,47.313072,0.09608486007068738,loc_0234_293,293.0
229,46.610964,0.05861246615725842,loc_0201_176,176.0
230,45.0603,0.05536441287541569,loc_0288_136,136.0
231,38.516148,0.018972173307387156,loc_0392_58,58.0
232,43.895196,0.03684666978859829,loc_0280_115,115.0
233,43.110792,0.03363196251995601,loc_0332_104,104.0
234,44.793324,0.04432394852433583,loc_0353_125,125.0
235,47.3607,0.0961639320730599,loc_0339_270,270.0
236,46.658592,0.09151093562096864,loc_0328_239,239.0
237,42.621552,0.03342359308878293,loc_0282_83,83.0
238,30.775788,0.009802232048725651,loc_0042_0035,35.0
239,12.030444,0.003694537173081919,loc_0213_11,11.0
240,47.066184,0.062095271770345926,loc_0293_180,180.0
241,29.981664,0.009354491972670792,loc_0333_24,24.0
242,46.984536,0.06965382569642226,loc_0317_197,197.0
243,15.828048,0.0027434997501135116,loc_0371_8,8.0
244,48.592872,0.08608071361647744,loc_0205_264,264.0
245,26.0658,0.012199485083218246,loc_0271_27,27.0
246,35.064252,0.016195780005817114,loc_0031_0044,44.0
247,30.408696,0.0097544610714911,loc_0093_0034,34.0
248,13.787496,0.0026036144081245023,loc_0089_0007,7.0
250,35.0892,0.014469587503166178,loc_0062_0045,45.0
251,44.5743,0.04339845276318118,loc_0244_130,130.0
252,45.644472,0.05775669231234515,loc_0299_166,166.0
253,19.012644,0.003960566784245162,loc_0051_0010,10.0
254,16.489656,0.0029779751778620947,loc_0004_0014,14.0
255,40.421592,0.02188722726646063,loc_0356_57,57.0
256,27.29376,0.00905680347164584,loc_0014_0036,36.0
257,46.968336,0.04998020608540743,loc_0237_145,145.0
258,16.43166,0.0031821289579152226,loc_0072_0012,12.0
259,21.638988,0.006583444092917642,loc_0000_0018,18.0
260,26.091396,0.008569253888542232,loc_0259_34,34.0
261,23.878476,0.008100302550097874,loc_0036_0026,26.0
262,15.5925,0.004447835663536168,loc_0067_0015,15.0
263,13.872384,0.003840733268858717,loc_0114_0010,10.0
265,44.966016,0.0405147802392874,loc_0322_124,124.0
266,21.580344,0.005550764534008981,loc_0321_17,17.0
267,31.845312,0.011284800763736485,loc_0112_0048,48.0
268,12.764304,0.0019130336487606855,loc_0069_0011,11.0
269,47.14848,0.09281688541315875,loc_0229_268,268.0
270,31.588056,0.012714776854709502,loc_0025_0034,34.0
271,27.92394,0.008917281456033557,loc_0260_27,27.0
272,27.599292,0.008594365183239095,loc_0389_27,27.0
274,48.311964,0.08583522618173575,loc_0290_257,257.0
275,45.69372,0.058205700525159075,loc_0378_173,173.0
276,43.973604,0.0378642186614307,loc_0346_119,119.0
277,32.505624,0.011619435409367516,loc_0065_0044,44.0
278,30.67146,0.011904401382143742,loc_0029_0038,38.0
279,28.025352,0.011245311856952205,loc_0102_0031,31.0
280,48.08808,0.07097824721653913,loc_0388_212,212.0
281,26.630856,0.009108120997404556,loc_0041_0029,29.0
282,47.791296,0.0812124828779635,loc_0325_248,248.0
283,11.812716,0.002599375712077776,loc_0073_0007,7.0
