,wet_cell_count,diff_topo,diff_no_breach,mean_depth,mean_distance,depth / distance,distance / depth,area (m**2)
w0196,830464.0,122269.0,22053.0,-2.0,228.3232993335389,0.00875950902005127,114.16164966676945,2739.879592002467
w0001_1.5,843555.0,135360.0,35144.0,-1.5,427.14704050302754,0.0035116712929429,284.764693668685,3844.323364527248
w0010_1.5,820497.0,112302.0,12086.0,-1.5,146.99344569140928,0.010204536623687463,97.99563046093952,1322.9410112226833
w0164,840653.0,132458.0,32242.0,-2.0,326.15081533246513,0.0061321324552301975,163.07540766623256,3913.809783989582
w32,826145.0,117950.0,17734.0,-2.0,171.99177222493654,0.01162846323476645,85.99588611246827,2063.9012666992385
w0148,826372.0,118177.0,17961.0,-2.0,183.65846606313877,0.01088977841790551,91.82923303156939,2203.901592757665
w84,823860.0,115665.0,15449.0,-2.0,150.16015107084976,0.013319112865412236,75.08007553542488,1801.921812850197
w72,817902.0,109707.0,9491.0,-2.0,98.82864962433244,0.020237046722811673,49.41432481216622,1185.9437954919892
w0013_1.5,830886.0,122691.0,22475.0,-1.5,254.65601710816608,0.0058902986743991585,169.7706780721107,2291.9041539734944
w78,824790.0,116595.0,16379.0,-2.0,143.4934333407863,0.013937920038822596,71.74671667039316,1721.9212000894358
w0214,828892.0,120697.0,20481.0,-2.0,186.49149846142834,0.010724349455606182,93.24574923071417,2237.89798153714
w0054,830256.0,122061.0,21845.0,-2.0,213.65655647256452,0.009360817346397786,106.82827823628226,2563.8786776707743
w0064,839376.0,131181.0,30965.0,-2.0,368.14978082425404,0.005432571480885256,184.07489041212702,4417.797369891048
w0119,840237.0,132042.0,31826.0,-2.0,366.9830165922975,0.005449843479328949,183.49150829614874,4403.79619910757
w0125,830205.0,122010.0,21794.0,-2.0,224.15610128939,0.008922353612039139,112.078050644695,2689.87321547268
w0131,833066.0,124871.0,24655.0,-2.0,252.65487702579787,0.00791593664663669,126.32743851289894,3031.8585243095745
w62,833066.0,124871.0,24655.0,-2.0,182.99135368543213,0.010929478140470301,91.49567684271607,2195.8962442251855
w0104,826758.0,118563.0,18347.0,-2.0,174.82544815382593,0.011439982114275686,87.41272407691297,2097.905377845911
w0005,842740.0,134545.0,34329.0,-2.0,395.31531273656896,0.0050592525398396706,197.65765636828448,4743.783752838827
w0092,837795.0,129600.0,29384.0,-2.0,329.98392601199276,0.006060901281377303,164.99196300599638,3959.8071121439134
w199,825135.0,116940.0,16724.0,-2.0,155.99266184136857,0.012821115919118246,77.99633092068429,1871.911942096423
w0016_1.5,829318.0,121123.0,20907.0,-1.5,209.48991410952854,0.007160249248160694,139.6599427396857,1885.409226985757
w3,826875.0,118680.0,18464.0,-2.0,186.99060853797346,0.01069572432346968,93.49530426898673,2243.8873024556815
w0053,832802.0,124607.0,24391.0,-2.0,230.65645550627804,0.008670904075110803,115.32822775313902,2767.8774660753365
w111,827561.0,119366.0,19150.0,-2.0,159.82598604819387,0.0125136096416569,79.91299302409693,1917.9118325783265
w66,824575.0,116380.0,16164.0,-2.0,156.99218348687774,0.012739487760339169,78.49609174343887,1883.906201842533
w118,825349.0,117154.0,16938.0,-2.0,170.65854363968344,0.011719307790547308,85.32927181984172,2047.9025236762013
w187,824521.0,116326.0,16110.0,-2.0,148.99310404903906,0.013423440049559119,74.49655202451953,1787.9172485884687
w210,824896.0,116701.0,16485.0,-2.0,173.82461004658933,0.011505850635672072,86.91230502329466,2085.895320559072
w0189,836984.0,128789.0,28573.0,-2.0,324.9860116722318,0.006154111032991542,162.4930058361159,3899.832140066782
w63,827198.0,119003.0,18787.0,-2.0,185.15817925306547,0.010801575215678127,92.57908962653273,2221.8981510367857
w0168,850314.0,142119.0,41903.0,-2.0,469.31099189452425,0.004261566497572023,234.65549594726212,5631.731902734291
w171,820201.0,112006.0,11790.0,-2.0,113.66113629939265,0.01759616404618583,56.830568149696326,1363.9336355927119
w192,823710.0,115515.0,15299.0,-2.0,151.15925458819012,0.013231078741746173,75.57962729409506,1813.9110550582814
w21,825714.0,117519.0,17303.0,-2.0,173.65835033845042,0.011516866284299671,86.82917516922521,2083.900204061405
w6,826249.0,118054.0,17838.0,-2.0,164.82589047355302,0.012134016047199261,82.41294523677651,1977.910685682636
w95,823884.0,115689.0,15473.0,-2.0,153.49220503262737,0.013029977643326357,76.74610251631368,1841.9064603915285
w161,832299.0,124104.0,23888.0,-2.0,244.488743149685,0.008180335725213844,122.2443715748425,2933.86491779622
w0088,846982.0,138787.0,38571.0,-2.0,399.4812580001482,0.005006492695082226,199.7406290000741,4793.775096001778
w0028,837831.0,129636.0,29420.0,-2.0,326.81715358088746,0.006119629823851944,163.40857679044373,3921.80584297065
w164,829256.0,121061.0,20845.0,-2.0,206.15711088212018,0.009701338903335681,103.07855544106009,2473.8853305854423
w146,828093.0,119898.0,19682.0,-2.0,184.6577140138112,0.010830849990108797,92.3288570069056,2215.8925681657342
w185,824216.0,116021.0,15805.0,-2.0,144.15990537914362,0.013873483023868234,72.07995268957181,1729.9188645497234
w0181,840451.0,132256.0,32040.0,-2.0,310.9854515619322,0.006431169014354047,155.4927257809661,3731.8254187431867
w0080,833507.0,125312.0,25096.0,-2.0,261.4881442622395,0.007648530321107994,130.74407213111974,3137.8577311468734
w0091,837410.0,129215.0,28999.0,-2.0,293.8199459508791,0.0068068898233830605,146.90997297543956,3525.839351410549
w0044,836880.0,128685.0,28469.0,-2.0,310.4867736701876,0.0064414982202252715,155.2433868350938,3725.8412840422507
w0006_1.0,825062.0,116867.0,16651.0,-1.0,205.15791722593596,0.004874293975692499,205.15791722593596,1230.9475033556157
w152,821090.0,112895.0,12679.0,-2.0,120.99397567932776,0.016529748599224736,60.49698783966388,1451.927708151933
w0043,839257.0,131062.0,30846.0,-2.0,369.8157513051146,0.005408098473204053,184.9078756525573,4437.789015661375
w17,826883.0,118688.0,18472.0,-2.0,179.49171606754442,0.01114257551165972,89.74585803377221,2153.900592810533
w90,826285.0,118090.0,17874.0,-2.0,171.65837533857734,0.011651048170852246,85.82918766928867,2059.900504062928
w0024,842236.0,134041.0,33825.0,-2.0,371.81572226894014,0.005379008686871419,185.90786113447007,4461.788667227282
w0122,837278.0,129083.0,28867.0,-2.0,282.4858975701538,0.0070799994520197645,141.2429487850769,3389.830770841845
w10,821782.0,113587.0,13371.0,-2.0,134.49327040132985,0.014870632515901884,67.24663520066493,1613.9192448159583
w0012,833967.0,125772.0,25556.0,-2.0,315.15173259362706,0.006346149467561086,157.57586629681353,3781.820791123525
w49,829972.0,121777.0,21561.0,-2.0,217.32312279485188,0.00920288634858222,108.66156139742594,2607.8774735382226
w0090,839560.0,131365.0,31149.0,-2.0,372.6490756172049,0.005366979635431737,186.32453780860246,4471.788907406459
w134,823018.0,114823.0,14607.0,-2.0,119.1615867765007,0.016783932256216067,59.58079338825035,1429.9390413180083
w0209,833437.0,125242.0,25026.0,-2.0,241.15558832989768,0.008293401010736796,120.57779416494884,2893.867059958772
w129,827830.0,119635.0,19419.0,-2.0,176.82504232562874,0.011310615135139843,88.41252116281437,2121.900507907545
w0105,834405.0,126210.0,25994.0,-2.0,259.48847378312274,0.007707471437330874,129.74423689156137,3113.8616853974727
w140,823513.0,115318.0,15102.0,-2.0,165.15877392808855,0.012109559501033932,82.57938696404428,1981.9052871370627
w71,824450.0,116255.0,16039.0,-2.0,173.4913610692271,0.011527951522623384,86.74568053461356,2081.8963328307254
w0069,833056.0,124861.0,24645.0,-2.0,288.81933450551287,0.006924744160304215,144.40966725275644,3465.8320140661544
w22,815938.0,107743.0,7527.0,-2.0,53.16424042030476,0.03761927160415424,26.58212021015238,637.9708850436571
w23,827740.0,119545.0,19329.0,-2.0,178.6583560287049,0.011194550562631739,89.32917801435245,2143.9002723444587
w0016,831359.0,123164.0,22948.0,-2.0,247.32219987235908,0.008086617380211656,123.66109993617954,2967.866398468309
